"","Source","Target","edgelist2$f_tot"
"1264",57,31,14
"1265",191,152,12
"1266",144,40,2
"1267",57,67,16
"1268",168,85,12
"1269",119,40,2
"1270",57,111,270
"1271",145,135,6
"1272",57,110,14
"1273",70,118,1110
"1274",57,161,40
"1275",168,53,14
"1276",57,114,4
"1277",57,167,16
"1278",70,78,12
"1279",70,81,52
"1280",70,152,39
"1281",70,120,20
"1282",119,107,4
"1283",119,15,4
"1284",119,178,4
"1285",119,110,4
"1286",119,81,4
"1287",57,76,12
"1288",119,177,2
"1289",179,99,2
"1290",84,131,2
"1291",78,40,4
"1292",78,91,2
"1293",78,105,2
"1294",70,54,2
"1295",84,95,6
"1296",57,47,2
"1297",57,164,118
"1298",168,124,4
"1299",41,21,28
"1300",128,152,33
"1301",128,53,25
"1302",70,24,12
"1303",144,70,4
"1304",144,20,26
"1305",144,29,30
"1306",144,46,4
"1307",131,66,12
"1308",144,174,2
"1309",144,161,2
"1310",144,151,2
"1311",193,18,12
"1312",128,27,30
"1313",128,87,9
"1314",143,28,2
"1315",157,33,8
"1316",141,35,6
"1317",78,190,2
"1318",78,93,6
"1319",57,149,24
"1320",128,207,2
"1321",70,106,15
"1322",57,70,132
"1323",78,35,88
"1324",183,51,2
"1325",168,118,30
"1326",179,57,6
"1327",119,182,6
"1328",70,39,16
"1329",57,222,2
"1330",145,182,24
"1331",57,125,8
"1332",157,35,36
"1333",157,18,4
"1334",41,85,51
"1335",183,36,12
"1336",70,174,10
"1337",70,109,8
"1338",168,99,2
"1339",131,167,6
"1340",144,167,4
"1341",144,129,2
"1342",128,66,4
"1343",141,110,24
"1344",183,35,8
"1345",131,107,8
"1346",78,84,10
"1347",168,122,10
"1348",157,57,6
"1349",57,157,6
"1350",193,20,2
"1351",119,32,2
"1352",141,23,4
"1353",57,96,12
"1354",57,122,2
"1355",168,29,70
"1356",168,33,6
"1357",57,115,114
"1358",168,98,8
"1359",57,131,4
"1360",78,81,20
"1361",78,118,6
"1362",41,155,45
"1363",84,32,12
"1364",128,57,2
"1365",179,21,6
"1366",179,105,2
"1367",179,42,2
"1368",119,99,2
"1369",119,136,6
"1370",168,21,16
"1371",78,54,2
"1372",144,96,6
"1373",78,124,2
"1374",70,233,57
"1375",131,16,2
"1376",157,32,16
"1377",119,114,2
"1378",128,171,6
"1379",185,107,4
"1380",144,105,4
"1381",131,190,10
"1382",144,66,3
"1383",144,27,2
"1384",84,134,2
"1385",84,15,10
"1386",157,40,4
"1387",157,27,6
"1388",168,58,2
"1389",57,136,2
"1390",41,28,8
"1391",157,66,19
"1392",57,33,62
"1393",141,136,6
"1394",145,64,6
"1395",143,155,6
"1396",57,154,156
"1397",168,110,6
"1398",57,213,4
"1399",70,44,4
"1400",191,23,46
"1401",119,66,2
"1402",70,43,2
"1403",119,19,3
"1404",183,174,26
"1405",179,53,4
"1406",57,209,12
"1407",193,15,4
"1408",144,92,2
"1409",57,121,82
"1410",70,168,2
"1411",57,155,45
"1412",184,181,6
"1413",57,37,2
"1414",41,36,2
"1415",128,29,6
"1416",131,50,4
"1417",131,65,10
"1418",144,177,2
"1419",131,45,2
"1420",131,69,4
"1421",70,45,6
"1422",84,107,2
"1423",84,62,6
"1424",84,218,2
"1425",157,153,4
"1426",41,45,4
"1427",70,84,2
"1428",70,188,8
"1429",145,35,14
"1430",57,117,74
"1431",57,126,64
"1432",70,85,30
"1433",57,43,2
"1434",84,20,4
"1435",70,33,4
"1436",57,141,34
"1437",70,178,4
"1438",57,142,28
"1439",41,202,8
"1440",179,207,2
"1441",128,30,26
"1442",119,195,16
"1443",184,28,2
"1444",144,125,8
"1445",141,15,4
"1446",57,116,12
"1447",184,18,36
"1448",144,69,10
"1449",57,49,6
"1450",70,169,2
"1451",70,149,2
"1452",145,81,4
"1453",70,112,2
"1454",57,179,4
"1455",184,96,32
"1456",144,30,4
"1457",41,27,2
"1458",157,29,4
"1459",157,111,2
"1460",141,30,8
"1461",84,44,2
"1462",57,200,1
"1463",70,83,4
"1464",57,48,3
"1465",185,198,12
"1466",185,84,6
"1467",168,27,2
"1468",179,135,2
"1469",128,94,36
"1470",141,69,2
"1471",119,141,10
"1472",119,30,8
"1473",168,143,2
"1474",119,234,2
"1475",57,123,4
"1476",157,20,14
"1477",184,198,24
"1478",57,94,4
"1479",131,57,2
"1480",191,143,4
"1481",193,120,2
"1482",168,101,4
"1483",185,199,2
"1484",131,158,2
"1485",70,196,8
"1486",84,30,6
"1487",141,27,6
