Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CA,XX,,6,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CA,XX,,2,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,XX,31,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,XX,1,,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,XX,,131,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CH,XX,,1,ivory pieces,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CN,XX,1,,ivory carvings,,P,W
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CN,XX,57,,ivory carvings,,T,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CZ,XX,,2,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,DE,XX,1,,ivory carvings,,P,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,FR,XX,,63,ivory carvings,kg,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,FR,XX,1,,ivory carvings,sets,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,FR,XX,1,,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,FR,XX,13,2,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,FR,XX,1,,ivory carvings,,P,W
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,FR,XX,2,1,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,FR,XX,11,39,ivory carvings,,T,O
