,Country,Total imports,Total exports,Net imports,2005_net_import_counts,2005_import_counts,2005_export_counts,2006_net_import_counts,2006_import_counts,2006_export_counts,2007_net_import_counts,2007_import_counts,2007_export_counts,2008_net_import_counts,2008_import_counts,2008_export_counts,2009_net_import_counts,2009_import_counts,2009_export_counts,2010_net_import_counts,2010_import_counts,2010_export_counts,2011_net_import_counts,2011_import_counts,2011_export_counts,2012_net_import_counts,2012_import_counts,2012_export_counts,2013_net_import_counts,2013_import_counts,2013_export_counts,2014_net_import_counts,2014_import_counts,2014_export_counts,2015_net_import_counts,2015_import_counts,2015_export_counts
49,PY,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,PA,2.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
51,PF,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,PG,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,PE,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,PK,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
55,PH,11.0,26.0,-15.0,-5.0,0.0,5.0,-4.0,0.0,4.0,-2.0,0.0,2.0,-2.0,0.0,2.0,-3.0,0.0,3.0,1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-3.0,6.0,9.0,2.0,2.0,0.0,2.0,2.0,0.0
56,PL,39.0,30.0,9.0,1.0,2.0,1.0,-2.0,0.0,2.0,-1.0,2.0,3.0,6.0,7.0,1.0,0.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,2.0,3.0,1.0,1.0,5.0,4.0,1.0,6.0,5.0,-1.0,3.0,4.0
57,ZM,5.0,11.0,-6.0,-2.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,-2.0,0.0,2.0,-1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0
58,EG,13.0,6.0,7.0,-2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,1.0,2.0,3.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0
59,ZA,43.0,247.0,-204.0,-26.0,4.0,30.0,-18.0,3.0,21.0,-24.0,5.0,29.0,-20.0,9.0,29.0,-15.0,4.0,19.0,-13.0,3.0,16.0,-20.0,3.0,23.0,-12.0,3.0,15.0,-13.0,3.0,16.0,-35.0,5.0,40.0,-8.0,1.0,9.0
60,AL,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,AO,0.0,7.0,-7.0,-2.0,0.0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0
62,ET,2.0,6.0,-4.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,2.0,-1.0,0.0,1.0
63,SO,0.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,ZW,2.0,275.0,-273.0,-11.0,0.0,11.0,-16.0,0.0,16.0,-6.0,0.0,6.0,-27.0,0.0,27.0,-49.0,1.0,50.0,-41.0,0.0,41.0,-35.0,0.0,35.0,-47.0,1.0,48.0,-30.0,0.0,30.0,-11.0,0.0,11.0,0.0,0.0,0.0
65,KY,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,ES,86.0,76.0,10.0,14.0,16.0,2.0,7.0,16.0,9.0,8.0,9.0,1.0,-2.0,12.0,14.0,2.0,4.0,2.0,7.0,9.0,2.0,-1.0,5.0,6.0,1.0,5.0,4.0,-5.0,3.0,8.0,-11.0,4.0,15.0,-10.0,3.0,13.0
67,ER,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,MG,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
69,UY,4.0,47.0,-43.0,-9.0,1.0,10.0,-7.0,0.0,7.0,-7.0,1.0,8.0,-4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,-4.0,0.0,4.0,-3.0,0.0,3.0,-5.0,1.0,6.0,-3.0,1.0,4.0
70,MC,24.0,36.0,-12.0,-1.0,10.0,11.0,-1.0,3.0,4.0,-1.0,1.0,2.0,1.0,2.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,-7.0,1.0,8.0,2.0,2.0,0.0,-4.0,0.0,4.0,1.0,3.0,2.0,-1.0,1.0,2.0
