,Country,2005_import_counts,2006_import_counts,2007_import_counts,2008_import_counts,2009_import_counts,2010_import_counts,2011_import_counts,2012_import_counts,2013_import_counts,2014_import_counts,2015_import_counts,2005_export_counts,2006_export_counts,2007_export_counts,2008_export_counts,2009_export_counts,2010_export_counts,2011_export_counts,2012_export_counts,2013_export_counts,2014_export_counts,2015_export_counts
120,SN,0,0,0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
121,SL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,KZ,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
123,SA,1,0,3,0,0,1,1,4,0,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
124,SG,4,8,10,12,8,14,16,13,20,34,27,7.0,6.0,3.0,3.0,5.0,5.0,3.0,3.0,2.0,5.0,12.0
125,SE,2,0,0,3,0,0,1,1,4,0,1,2.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
126,SD,0,0,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
127,DO,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
128,DJ,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,DK,9,6,8,11,2,2,1,2,1,2,8,8.0,6.0,11.0,8.0,0.0,1.0,8.0,5.0,1.0,9.0,9.0
130,DE,44,21,33,45,25,32,25,17,24,25,21,61.0,54.0,58.0,60.0,51.0,58.0,39.0,30.0,22.0,44.0,43.0
131,YE,0,1,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,DZ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,US,230,243,253,221,203,181,197,222,220,175,154,88.0,94.0,115.0,113.0,93.0,100.0,117.0,130.0,125.0,97.0,93.0
134,LB,1,0,3,3,4,1,1,3,2,0,5,2.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0
135,LA,0,0,0,0,0,0,0,1,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
136,TW,10,12,8,9,3,8,7,8,5,12,10,1.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0
137,TR,5,2,3,6,5,5,2,8,1,4,3,0.0,3.0,2.0,6.0,1.0,3.0,5.0,2.0,0.0,2.0,2.0
138,LK,0,1,1,1,0,0,0,1,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
139,LI,1,2,2,0,0,3,0,1,0,1,1,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
