"","unique.base.edge.","source","target","f2005","f2006","f2007","f2008","f2009","f2010","f2011","f2012","f2013","f2014","f2015","w2005","w2006","w2007","w2008","w2009","w2010","w2011","w2012","w2013","w2014","w2015","f_tot"
"5184","GT-PL","GT","PL",0,0,0,3,0,15,3,0,6,6,6,0,0,0,1.82728501991741e-05,0,9.20895110046966e-05,1.83694088111931e-05,0,3.44066290105227e-05,3.66081343274476e-05,4.60504098486476e-05,39
"5185","GL-RS","GL","RS",0,0,0,4,0,0,0,0,0,0,0,0,0,0,2.43638002655654e-05,0,0,0,0,0,0,0,4
"5186","GL-SC","GL","SC",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.21819001327827e-05,0,0,0,0,0,0,0,2
"5187","GN-TZ","GN","TZ",0,0,0,4,0,0,0,0,0,0,0,0,0,0,2.43638002655654e-05,0,0,0,0,0,0,0,4
"5188","GY-LB","GY","LB",0,0,0,30,30,28,12,14,10,10,22,0,0,0,0.000182728501991741,0.00018718879862229,0.0001719004205421,7.34776352447724e-05,7.48131008427161e-05,5.73443816842045e-05,6.10135572124126e-05,0.000168851502778375,156
"5189","GY-SA","GY","SA",0,0,0,4,0,0,0,0,0,2,0,0,0,0,2.43638002655654e-05,0,0,0,0,0,1.22027114424825e-05,0,6
"5190","GN-SK","GN","SK",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.21819001327827e-05,0,0,0,0,0,0,0,2
"5191","GL-MC","GL","MC",0,0,0,2,0,2,0,0,0,0,0,0,0,0,1.21819001327827e-05,0,1.22786014672929e-05,0,0,0,0,0,4
"5192","GR-KW","GR","KW",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4.99170129659441e-05,0,0,0,0,0,0,8
"5193","GR-MK","GR","MK",0,0,0,0,2,4,4,4,10,8,6,0,0,0,0,1.2479253241486e-05,2.45572029345858e-05,2.44925450815908e-05,2.13751716693475e-05,5.73443816842045e-05,4.88108457699301e-05,4.60504098486476e-05,38
"5194","GR-UA","GR","UA",0,0,0,0,4,2,2,8,0,0,0,0,0,0,0,2.49585064829721e-05,1.22786014672929e-05,1.22462725407954e-05,4.27503433386949e-05,0,0,0,16
"5195","GL-ZA","GL","ZA",0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2.49585064829721e-05,0,0,0,0,0,1.53501366162159e-05,6
"5196","GT-PT","GT","PT",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.8718879862229e-05,0,0,0,0,0,0,3
"5197","GT-NI","GT","NI",0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,1.2479253241486e-05,2.45572029345858e-05,2.44925450815908e-05,0,0,0,0,10
"5198","GT-VC","GT","VC",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.2479253241486e-05,0,0,0,0,0,0,2
"5199","GY-RS","GY","RS",0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0.000162230292139318,0.000159621819074807,0,0,0,0,0,52
"5200","GW-IT","GW","IT",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.2479253241486e-05,0,0,0,0,0,0,2
"5201","GD-TT","GD","TT",0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,1.2479253241486e-05,2.45572029345858e-05,1.22462725407954e-05,0,0,0,0,8
"5202","GN-KR","GN","KR",0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,6.23962662074301e-06,1.84179022009393e-05,6.1231362703977e-06,0,0,0,0,5
"5203","GR-NZ","GR","NZ",0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1.2479253241486e-05,0,0,0,0,0,1.53501366162159e-05,4
"5204","GL-OM","GL","OM",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.8718879862229e-05,0,0,0,0,0,0,3
"5205","GL-PY","GL","PY",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.8718879862229e-05,0,0,0,0,0,0,3
"5206","GL-SI","GL","SI",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.2479253241486e-05,0,0,0,0,0,0,2
"5207","GT-AE","GT","AE",0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,2.45572029345858e-05,1.22462725407954e-05,0,1.14688763368409e-05,0,0,8
"5208","GT-QA","GT","QA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.13930073364644e-06,0,0,0,0,0,1
